Reporting Period	ID RSSD	UBPR3530	UBPR8725	UBPR8726	UBPR8761	UBPR8762	UBPR8764	UBPRA126	UBPRA127	UBPRA251	UBPRD508	UBPRE278	UBPRE279	UBPRE280	UBPRE281	UBPRE282	UBPRE283	UBPRE284	UBPRE285	UBPRE286	UBPRE287	UBPRE288	UBPRE289	UBPRE290	UBPRE291	UBPRE292	UBPRE293	UBPRE294	UBPRE295	UBPRE296	UBPRE297	UBPRE298	UBPRE299	UBPRE300	UBPRE301	UBPRE302	UBPRE303	UBPRHP02	UBPRHP03	UBPRHP04	
		REPLMT COST OF CONTRCTS-PAS DU 90 DY	TOTL INT RATE CONTRCS-MKD TO MARKET	TOTL FGN EXCH CONTRCS-MKD TO MARKET	NET INCREASE(DECREASE) TO INT INCOME	NET INCREASE(DECREASE) TO INT EXPNSE	NET CURRENT CREDIT EXPOSURE	TOTAL INT RATE CONTRACTS TRADING	TOTAL FGN EXCH CONTRACTS TRADING	CR LOSSES ON OFF-BALC SHEET DERIVTVS	CNTRC_EQCM_HFT_DER	CNTRC_TOT_DER	CNTRC_INT_RTE_DER	CNTRC_FGN_EXCH_DER	CNTRC_EQY_OTH_DER	CNTRC_FUT_FWD_DER	CNTRC_TOT_WO_DER	CNTRC_EXTRD_WO_DER	CNTRC_OTC_WO_DER	CNTRC_TOT_PO_DER	CNTRC_EXTRD_PO_DER	CNTRC_OTC_PO_DER	CNTRC_TOT_SWAP_DER	CNTRC_TOT_HFT_DER	CNTRC_TOT_NTR_DER	CNTRC_EQCM_NTR_DER	CNTRC_MTM_NTR_DER	CNTRC_RBC_TOT_DER	CNTRC_LT1Y_RBC_DER	CNTRC_1T5Y_RBC_DER	CNTRC_OV5Y_RBC_DER	CNTRC_NEG_TOT_DER	CNTRC_POS_TOT_DER	CNTRC_POS_HFT_DER	CNTRC_POS_NTR_DER	CNTRC_MTM_NTRPODER	NET_INC_CHG_NT_DER	NINT RT DRV CNT	HLD TRD NINT RT DRV CNT	NTRD RT DRV CNT	
3/31/2005 11:59:59 PM	37		0	0			0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	
3/31/2005 11:59:59 PM	242		0	0			0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	
3/31/2005 11:59:59 PM	279		0	0			0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	
3/31/2005 11:59:59 PM	354		0	0			0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	
3/31/2005 11:59:59 PM	439		0	0			0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	
3/31/2005 11:59:59 PM	457		0	0			0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	
3/31/2005 11:59:59 PM	505		0	0			0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	
3/31/2005 11:59:59 PM	1146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3/31/2005 11:59:59 PM	1155		1774	0			0	0	0		0	1774	1774	0	0	0	1774	0	1774	0	0	0	0	0	1774	0	1774	0	0	0	0	0	0	0	0	0		0	0	0	
3/31/2005 11:59:59 PM	1351		0	0			0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	
3/31/2005 11:59:59 PM	1454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3/31/2005 11:59:59 PM	1557		0	0			0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	
3/31/2005 11:59:59 PM	1632		0	0			0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	
3/31/2005 11:59:59 PM	1669		0	0			0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	
3/31/2005 11:59:59 PM	1829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3/31/2005 11:59:59 PM	1856		0	0			0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	
3/31/2005 11:59:59 PM	2040		0	0			0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	
3/31/2005 11:59:59 PM	2161		0	0			0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	
3/31/2005 11:59:59 PM	2376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3/31/2005 11:59:59 PM	2451		0	0			0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	
3/31/2005 11:59:59 PM	2554		0	0			0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	
3/31/2005 11:59:59 PM	2732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3/31/2005 11:59:59 PM	2750		0	0			0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	
3/31/2005 11:59:59 PM	2938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3/31/2005 11:59:59 PM	2956		0	0			0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	
3/31/2005 11:59:59 PM	3252		0	0			0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	
3/31/2005 11:59:59 PM	3458		0	0			0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	
3/31/2005 11:59:59 PM	3506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3/31/2005 11:59:59 PM	3579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3/31/2005 11:59:59 PM	3720		0	0			0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	
3/31/2005 11:59:59 PM	3953		0	0			0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	
3/31/2005 11:59:59 PM	4138		0	0			0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	
3/31/2005 11:59:59 PM	4147		0	0			0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	
3/31/2005 11:59:59 PM	4156		0	0			0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	
3/31/2005 11:59:59 PM	4231		0	0			0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	
3/31/2005 11:59:59 PM	4437		0	0			0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	
