Reporting Period	ID RSSD	UBPRB705	UBPRB706	UBPRB707	UBPRB708	UBPRB710	UBPRB712	UBPRB713	UBPRB714	UBPRB715	UBPRB717	UBPRB719	UBPRB720	UBPRB721	UBPRB722	UBPRB724	UBPRE711	UBPRE712	UBPRE713	UBPRE714	UBPRE715	UBPRE716	UBPRE717	UBPRE718	UBPRE719	UBPRE720	UBPRE721	UBPRE722	UBPRE723	UBPRE724	UBPRE725	UBPRE726	UBPRE727	UBPRE728	UBPRE729	UBPRE730	UBPRE731	UBPRE732	UBPRE733	UBPRE734	UBPRE735	UBPRE736	UBPRE737	UBPRE738	UBPRE739	UBPRE740	UBPRE741	UBPRE742	UBPRE743	UBPRE744	UBPRE745	UBPRE746	UBPRE747	UBPRE748	UBPRE749	UBPRE750	UBPRE751	UBPRE752	UBPRE753	UBPRE754	UBPRE755	UBPRE756	UBPRE757	UBPRE758	UBPRE759	UBPRE760	UBPRE761	UBPRE762	UBPRE763	UBPRE764	UBPRE765	UBPRE766	UBPRE767	UBPRE768	UBPRE769	UBPRE770	UBPRE771	UBPRE772	UBPRE773	UBPRE774	UBPRE775	UBPRE776	UBPRE777	UBPRE778	UBPRE779	UBPRE780	UBPRE781	UBPRE782	UBPRE783	UBPRE784	UBPRE785	UBPRE786	UBPRE787	UBPRE788	UBPRE789	UBPRE790	UBPRE791	UBPRE792	UBPRE793	UBPRE794	UBPRE795	UBPRE796	UBPRE797	UBPRE798	UBPRE799	UBPRE800	UBPRE801	
		OTSTDNG PRNCPL BAL,ETC-1-4 FAM RESDL	OTSTDNG PRNCPL BAL OF,ETC-HM EQ LINS	OTSTDNG PRNCPL BAL OF,ETC-CR CRD RCV	OTSTDNG PRNCPL BAL OF,ETC-AUTO LOANS	OTSTDNG PRNCPL BAL OF-CMMRL&INDU LNS	RETAINED INT-ONLY STRPS-1-4 FAM RESI	RETAINED INT-ONLY STRPS-HM EQY LINES	RETAINED INT-ONLY STRPS-CR CRD RCVBL	RETAINED INT-ONLY STRIPS-AUTO LOANS	RETAINED INT-ONLY STRPS-CMRL&IND LNS	STANDBY LETTRS OF CRDT-1-4 FAM RSDTL	STANDBY LETTRS OF CRDT-HM EQTY LINES	STANDBY LETTRS OF CRDT-CRDT CRD RCVB	STANDBY LETTERS OF CREDIT-AUTO LOANS	STANDBY LETTRS OF CRDT-CMMRL&IND LNS	SECACT_TOT	SEC_OTHLN	RI_STRIP_TOT	RI_OTHLN	RC_ENH_TOT	RC_OTHLN	UN_LIQCOM	SI_SECLN_TOT	SI_HOMEQ	SI_CRCD	SI_CMLLN	RET_CREXP_TOT	AB_CPCOND_TOT	AB_CREXP_BK	LIQ_COM	SECACT_TOT_TA	SEC_FAMRES_TA	SEC_HOMEQ_TA	SEC_CRCD_TA	SEC_AUTLN_TA	SEC_CMLLN_TA	SEC_OTHLN_TA	AB_CPCOND_TOT_TA	AB_CREXP_BK_TA	LIQ_COM_TA	SEC_FAMRES_TM_TS	SEC_HOMEQ_TM_TS	SEC_CRCD_TM_TS	SEC_AUTLN_TM_TS	SEC_CMLLN_TM_TS	SEC_OTHLN_TM_TS	SECACT_TOT_GQ	SEC_FAMRES_GQ	SEC_HOMEQ_GQ	SEC_CRCD_GQ	SEC_AUTLN_GQ	SEC_CMLLN_GQ	SEC_OTHLN_GQ	RI_STRIP_TOT_GQ	RI_FAMRES_GQ	RI_HOMEQ_GQ	RI_CRCD_GQ	RI_AUTLN_GQ	RI_CMLLN_GQ	RI_OTHLN_GQ	RC_ENH_TOT_GQ	RC_FAMRES_GQ	RC_HOMEQ_GQ	RC_CRCD_GQ	RC_AUTLN_GQ	RC_CMLLN_GQ	RC_OTHLN_GQ	UN_LIQCOM_GQ	SI_SECLN_TOT_GQ	SI_HOMEQ_GQ	SI_CRCD_GQ	SI_CMLLN_GQ	RET_CREXP_TOT_GQ	AB_CPCOND_TOT_GQ	AB_CREXP_BK_GQ	LIQ_COM_GQ	SECACT_TOT_GY	SEC_FAMRES_GY	SEC_HOMEQ_GY	SEC_CRCD_GY	SEC_AUTLN_GY	SEC_CMLLN_GY	SEC_OTHLN_GY	RI_STRIP_TOT_GY	RI_FAMRES_GY	RI_HOMEQ_GY	RI_CRCD_GY	RI_AUTLN_GY	RI_CMLLN_GY	RI_OTHLN_GY	RC_ENH_TOT_GY	RC_FAMRES_GY	RC_HOMEQ_GY	RC_CRCD_GY	RC_AUTLN_GY	RC_CMLLN_GY	RC_OTHLN_GY	UN_LIQCOM_GY	SI_SECLN_TOT_GY	SI_HOMEQ_GY	SI_CRCD_GY	SI_CMLLN_GY	RET_CREXP_TOT_GY	AB_CPCOND_TOT_GY	AB_CREXP_BK_GY	LIQ_COM_GY	
3/31/2017 11:59:59 PM	37																0															0										53.02																																																																		
3/31/2017 11:59:59 PM	242																0															0										35.69																																																																		
3/31/2017 11:59:59 PM	279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0				76.95	0.24	0	2.41	2.22	18.18																																																													
3/31/2017 11:59:59 PM	354																0															0										15.55																																																																		
3/31/2017 11:59:59 PM	457																0															0										26.14																																																																		
3/31/2017 11:59:59 PM	505																0															0										43.55																																																																		
3/31/2017 11:59:59 PM	1155																0															0										20.75																																																																		
3/31/2017 11:59:59 PM	1351																0															0										22.02																																																																		
3/31/2017 11:59:59 PM	1454																0															0										35.81																																																																		
