Reporting Period	ID RSSD	UBPRB733	UBPRB736	UBPRB740	UBPRB743	UBPRD675	UBPRD676	UBPRD677	UBPRD678	UBPRD679	UBPRE802	UBPRE803	UBPRE804	UBPRE805	UBPRE806	UBPRE807	UBPRE808	UBPRE809	UBPRE810	UBPRE811	UBPRE812	UBPRE813	UBPRE814	UBPRE815	UBPRE816	UBPRE817	UBPRE818	UBPRE819	UBPRE820	UBPRE821	UBPRE822	UBPRE823	UBPRE824	UBPRE825	UBPRE826	UBPRE827	UBPRE828	UBPRE829	UBPRE830	UBPRE831	UBPRE832	UBPRE833	UBPRE834	UBPRE835	UBPRJ238	
		PAST DUE LN AMTS:30-89 DYS FAMI RSDL	PAS DUE LN AMTS:30-89 DYS AUTO LOANS	PAS DU LN AMTS:90 DAYS/MORE 1-4 FAM	PAST DUE LN AMTS:90 DYS/MOR AUTO LNS	TOTAL SEC CMRCL IND LN PD 30 TO 80	PAS DUE LN AMTS 30 TO 89 HOME EQUITY	TOTAL SEC CMRCL IND LN PD 90 DAYS	TOTAL SEC CREDIT CARD LN PD 90	TOTAL SEC HOME EQUITY PD 90	RI_STRIP_TOT_TS	RI_FAMRES_TFS	RI_HOMEQ_THS	RI_CRCD_TCS	RI_AUTLN_TAS	RI_CMLLN_TCS	RI_OTHLN_TOS	RC_ENH_TOT_TS	RC_FAMRES_TFS	RC_HOMEQ_THS	RC_CRCD_TCS	RC_AUTLN_TAS	RC_CMLLN_TCS	RC_OTHLN_TOS	UN_LIQCOM_TS	SI_SECLN_TS	SI_HOMEQ_THS	SI_CRCD_TCS	SI_CMLLN_TCS	RET_CREXP_TOT_T1	RI_STRIP_TOT_T1	RC_ENH_TOT_T1	PDS_3089_OTHLN	PDS_3089_TOT	PDS_90MOR_OTHLN	PDS_90MOR_TOT	PDS_SEC_ASET_TOT	NCOS_FAMRES	NCOS_HOMEQ	NCOS_CRCD	NCOS_AUTLN	NCOS_CMLLN	NCOS_OTHLN	NCOS_TOT	PAS DUE LN AMT 30 TO 89 CRDT CARD IN	
3/31/2012 11:59:59 PM	37	0	0	0	0	0	0	0	0	0																				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3/31/2012 11:59:59 PM	242	0	0	0	0	0	0	0	0	0																				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3/31/2012 11:59:59 PM	279	0	0	0	0	0	0	0	0	0																				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3/31/2012 11:59:59 PM	354	0	0	0	0	0	0	0	0	0																				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3/31/2012 11:59:59 PM	457	0	0	0	0	0	0	0	0	0																				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3/31/2012 11:59:59 PM	505	0	0	0	0	0	0	0	0	0																				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3/31/2012 11:59:59 PM	1155	0	0	0	0	0	0	0	0	0																				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3/31/2012 11:59:59 PM	1351	0	0	0	0	0	0	0	0	0																				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3/31/2012 11:59:59 PM	1454	0	0	0	0	0	0	0	0	0																				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3/31/2012 11:59:59 PM	1557	0	0	0	0	0	0	0	0	0																				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3/31/2012 11:59:59 PM	1669	0	0	0	0	0	0	0	0	0																				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3/31/2012 11:59:59 PM	1829	0	0	0	0	0	0	0	0	0																				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3/31/2012 11:59:59 PM	1856	0	0	0	0	0	0	0	0	0																				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3/31/2012 11:59:59 PM	2040	0	0	0	0	0	0	0	0	0																				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3/31/2012 11:59:59 PM	2161	0	0	0	0	0	0	0	0	0																				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3/31/2012 11:59:59 PM	2376	0	0	0	0	0	0	0	0	0																				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3/31/2012 11:59:59 PM	2554	0	0	0	0	0	0	0	0	0																				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3/31/2012 11:59:59 PM	2732	0	0	0	0	0	0	0	0	0																				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3/31/2012 11:59:59 PM	2750	0	0	0	0	0	0	0	0	0																				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3/31/2012 11:59:59 PM	3177	0	0	0	0	0	0	0	0	0																				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3/31/2012 11:59:59 PM	3252	0	0	0	0	0	0	0	0	0																				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
